id,repository_name,date(YYY-MM-DDThh-mm-ss),run_time(second),count_files,loc
codeplea/tinyexpr,codeplea/tinyexpr,2023-11-21T21-25-31,0.7228022240001337,9,1964
cokemine/ServerStatus-Hotaru,cokemine/ServerStatus-Hotaru,2023-11-21T21-25-31,0.7021027040000263,11,5531
commaai/panda,commaai/panda,2023-11-21T21-25-32,12.679761776000078,196,109792
concurrencykit/ck,concurrencykit/ck,2023-11-21T21-25-45,20.853296477999947,250,47106
confluentinc/librdkafka,confluentinc/librdkafka,2023-11-21T21-26-06,53.0766698829998,335,212333
conorpp/u2f-zero,conorpp/u2f-zero,2023-11-21T21-26-59,2.4058521229999315,42,13893
contiki-os/contiki,contiki-os/contiki,2023-11-21T21-27-01,150.72604189699996,2823,608807
coolsnowwolf/lede,coolsnowwolf/lede,2023-11-21T21-29-32,152.40588937799998,2544,2072438
cossacklabs/themis,cossacklabs/themis,2023-11-21T21-32-04,16.13502358300002,283,46463
coturn/coturn,coturn/coturn,2023-11-21T21-32-20,7.075860757999863,83,53303
cpq/bare-metal-programming-guide,cpq/bare-metal-programming-guide,2023-11-21T21-32-28,7.660103143000015,85,68819
cr-marcstevens/sha1collisiondetection,cr-marcstevens/sha1collisiondetection,2023-11-21T21-32-35,0.4571596980001686,5,2560
CTCaer/hekate,CTCaer/hekate,2023-11-21T21-32-36,24.43527551299985,379,149278
CTurt/FreeDVDBoot,CTurt/FreeDVDBoot,2023-11-21T21-33-00,0.37238112,4,779
cuber/ngx_http_google_filter_module,cuber/ngx_http_google_filter_module,2023-11-21T21-33-00,0.4766448919999675,10,1705
cundong/SmartAppUpdates,cundong/SmartAppUpdates,2023-11-21T21-33-01,2.661020820999965,28,15531
curl/curl,curl/curl,2023-11-21T21-33-04,54.01067262599986,850,251026
curl/trurl,curl/trurl,2023-11-21T21-33-58,0.1672269560001495,2,1590
Cyan4973/xxHash,Cyan4973/xxHash,2023-11-21T21-33-58,6.347099362000108,40,62650
cyd01/KiTTY,cyd01/KiTTY,2023-11-21T21-34-04,54.925432593000096,596,330691
cyring/CoreFreq,cyring/CoreFreq,2023-11-21T21-34-59,10.520351641999923,26,99953
DanBloomberg/leptonica,DanBloomberg/leptonica,2023-11-21T21-35-10,55.996102226000176,521,320432
danielwaterworth/Raphters,danielwaterworth/Raphters,2023-11-21T21-36-06,0.6543608709998807,10,515
danigargu/CVE-2020-0796,danigargu/CVE-2020-0796,2023-11-21T21-36-06,0.1338625970001885,1,11488
DarkFlippers/unleashed-firmware,DarkFlippers/unleashed-firmware,2023-11-21T21-36-06,97.25006012999984,1723,656678
darktable-org/darktable,darktable-org/darktable,2023-11-21T21-37-44,53.38232357900006,755,449024
dav/word2vec,dav/word2vec,2023-11-21T21-38-37,0.6045064179998008,5,1477
